<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
21/09/18,112410,112460,112400,112440
21/09/18,112440,112460,112420,112460
21/09/18,112450,112520,112450,112460
21/09/18,112460,112510,112430,112470
21/09/18,112450,112500,112430,112440
21/09/18,112440,112460,112420,112440
21/09/18,112430,112470,112430,112470
21/09/18,112450,112540,112450,112530
21/09/18,112530,112550,112490,112500
21/09/18,112490,112590,112480,112550
21/09/18,112560,112570,112480,112540
21/09/18,112550,112570,112440,112480
21/09/18,112460,112480,112410,112470
21/09/18,112470,112520,112450,112500
21/09/18,112510,112560,112500,112520
21/09/18,112510,112550,112500,112550
21/09/18,112540,112570,112500,112540
21/09/18,112550,112560,112440,112450
21/09/18,112460,112530,112440,112490
21/09/18,112500,112500,112460,112500
21/09/18,112490,112500,112470,112490
21/09/18,112470,112480,112420,112430
21/09/18,112430,112440,112400,112410
21/09/18,112410,112470,112400,112450
21/09/18,112440,112470,112430,112460
21/09/18,112460,112520,112460,112490
21/09/18,112480,112520,112470,112510
21/09/18,112520,112620,112520,112590
21/09/18,112580,112610,112570,112590
21/09/18,112600,112660,112560,112660
21/09/18,112660,112680,112610,112630
21/09/18,112630,112640,112600,112600
21/09/18,112600,112710,112600,112710
21/09/18,112710,112780,112680,112750
21/09/18,112750,112840,112750,112800
21/09/18,112800,112980,112780,112880
21/09/18,112880,113090,112880,113000
21/09/18,113000,113030,112870,112870
21/09/18,112890,112930,112880,112920
21/09/18,112920,112990,112920,112980
21/09/18,112990,113020,112920,112930
21/09/18,112950,112950,112890,112910
21/09/18,112920,112940,112840,112860
21/09/18,112870,112900,112830,112840
21/09/18,112850,112920,112840,112910
21/09/18,112920,112980,112910,112970
21/09/18,112970,113040,112940,113020
21/09/18,113030,113190,113020,113110
21/09/18,113110,113120,113030,113040
21/09/18,113030,113100,113000,113090
21/09/18,113090,113100,112950,112960
21/09/18,112970,112980,112880,112880
21/09/18,112880,112920,112870,112900
21/09/18,112920,112940,112890,112930
21/09/18,112930,113020,112920,112980
21/09/18,112990,113020,112930,113010
21/09/18,113010,113070,112980,113030
21/09/18,113040,113050,113010,113010
21/09/18,113020,113080,113020,113020
21/09/18,113020,113050,112970,112970
21/09/18,112970,113020,112950,112990
21/09/18,112980,113040,112950,113020
21/09/18,113020,113030,112930,112950
21/09/18,112960,113060,112950,113050
21/09/18,113040,113090,113000,113080
21/09/18,113090,113130,113080,113080
21/09/18,113080,113080,112950,112990
21/09/18,112990,113020,112970,112990
21/09/18,113010,113100,113000,113080
21/09/18,113080,113110,113070,113110
21/09/18,113110,113150,113030,113060
21/09/18,113060,113150,113050,113130
21/09/18,113130,113170,113120,113140
21/09/18,113130,113230,113120,113220
21/09/18,113210,113260,113150,113230
21/09/18,113230,113250,113170,113180
21/09/18,113170,113230,113170,113210
21/09/18,113210,113280,113180,113270
21/09/18,113260,113270,113220,113220
21/09/18,113230,113270,113200,113200
21/09/18,113200,113300,113200,113290
21/09/18,113300,113300,113270,113290
21/09/18,113290,113390,113280,113300
21/09/18,113300,113300,113190,113250
21/09/18,113250,113250,113150,113160
21/09/18,113170,113230,113160,113200
21/09/18,113200,113210,113170,113210
21/09/18,113220,113330,113210,113300
21/09/18,113300,113330,113280,113310
21/09/18,113300,113360,113250,113260
21/09/18,113260,113300,113210,113250
21/09/18,113250,113270,113130,113150
21/09/18,113170,113210,113130,113190
21/09/18,113200,113220,113030,113030
21/09/18,113040,113120,113020,113050
21/09/18,113040,113140,113040,113060
21/09/18,113050,113080,112970,112980
21/09/18,112980,113030,112950,112990
21/09/18,113000,113090,113000,113070
21/09/18,113080,113120,113030,113030
21/09/18,113040,113130,113010,113130
21/09/18,113110,113200,113070,113120
21/09/18,113120,113140,112980,112990
21/09/18,112990,113030,112950,113000
21/09/18,113010,113080,112990,113050
21/09/18,113050,113060,112970,112970
21/09/18,112970,113020,112930,112960
21/09/18,112970,112980,112910,112920
21/09/18,112930,112990,112930,112950
21/09/18,112960,112970,112910,112950
21/09/18,112960,112970,112900,112910
21/09/18,112900,112920,112880,112900
21/09/18,112900,112970,112890,112960
21/09/18,112970,113010,112890,112910
21/09/18,112920,113020,112910,113000
21/09/18,112990,113000,112940,112950
21/09/18,112960,113010,112920,113000
21/09/18,113010,113040,112970,112980
21/09/18,112970,112970,112950,112970
21/09/18,112970,112990,112930,112940
21/09/18,112930,112940,112860,112900
21/09/18,112890,112920,112870,112920
21/09/18,112920,112950,112870,112930
21/09/18,112930,112950,112890,112900
21/09/18,112910,113030,112900,113010
21/09/18,113010,113030,112950,113000
21/09/18,112990,113100,112990,113080
21/09/18,113070,113070,113000,113040
21/09/18,113040,113170,113040,113150
21/09/18,113140,113150,113060,113090
21/09/18,113070,113150,113070,113080
21/09/18,113090,113150,113050,113110
21/09/18,113110,113150,113110,113140
21/09/18,113130,113180,113130,113180
21/09/18,113180,113190,113110,113110
21/09/18,113120,113130,112910,112940
21/09/18,112950,112950,112890,112940
21/09/18,112940,113010,112920,112950
21/09/18,112950,113040,112940,112950
21/09/18,112940,113000,112940,112970
21/09/18,112980,113020,112890,112970
21/09/18,112970,113020,112950,113010
21/09/18,113010,113080,113010,113030
